@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

iris,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.023556,0.064944,5.3,13.776792,23.774438,0.84361,22.930828,1.584963,0.056241,1.528722,22.930828,1.528722,1446.77416,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0.001,0.03125,0,31.25,0,99420,10633,2353,100,40,?,-1
iris,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.038222,0.168892,8.6,35.827364,23.774438,2.409821,21.364617,1.584963,0.160655,1.424308,21.838548,1.455903,1377.858957,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.025,0.001,0.03125,0,31.25,0,97044,10633,2353,100,35.555556,?,-1
iris,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.113778,0.292119,25.6,61.967734,23.774438,9.250438,14.524,1.584963,0.616696,0.968267,18.431316,1.228754,1162.886576,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.973333,0.956508,0.861111,0.866667,0.022,0.002,0.015625,0,15.625,0,82062,10633,2353,93.333333,40,?,-1
iris,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.047556,0.149414,10.7,31.695426,23.774438,2.103117,21.671321,1.584963,0.140208,1.444755,21.671321,1.444755,1367.308104,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.993333,0.977778,0.93266,0.933333,0.017,0.001,0.015625,0,15.625,0,100949,10633,2353,100,37.777778,?,-1
iris,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.011556,0.048717,2.6,10.334409,23.774438,0.420716,23.353722,1.584963,0.028048,1.556915,23.353722,1.556915,1473.455803,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.014,0.001,0.015625,0,15.625,0,107890,10633,2353,100,35.555556,?,-1
iris,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.016889,0.043512,3.8,9.230385,23.774438,0.582197,23.19224,1.584963,0.038813,1.546149,23.19224,1.546149,1463.267428,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.036,0.002,0.03125,0,31.25,0,101510,10633,2353,100,40,?,-1
iris,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.045778,0.18613,10.3,39.484174,23.774438,3.192381,20.582056,1.584963,0.212825,1.372137,21.55646,1.437097,1360.061224,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.977778,0.93266,0.933333,0.028,0.002,0.03125,0,31.25,0,90554,10633,2353,100,37.777778,?,-1
iris,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.004444,0.01909,1,4.049691,23.774438,0.150561,23.623876,1.584963,0.010037,1.574925,23.623876,1.574925,1490.500651,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.054,0.008,0,0,0,0,104953,10633,2353,100,35.555556,?,-1
iris,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.043556,0.200377,9.8,42.50647,23.774438,4.365871,19.408566,1.584963,0.291058,1.293904,21.63457,1.442305,1364.989376,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.029,0.005,0.03125,0,31.25,0,99068,10633,2353,93.333333,33.333333,?,-1
iris,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.048889,0.146818,11,31.144823,23.774438,2.113771,21.660666,1.584963,0.140918,1.444044,21.660666,1.444044,1366.635869,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.053,0.001,0.03125,0,31.25,0,102005,10633,2353,100,40,?,-1
