@relation 'emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3123-Llast-weka.filters.unsupervised.attribute.Remove-R3122-3123-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'CO2 9' numeric
@attribute 'm15.0238 9' numeric
@attribute 'm31.0178 2' numeric
@attribute 'm31.0178 8' numeric
@attribute 'm33.0335 3' numeric
@attribute 'm33.0335 4' numeric
@attribute 'm33.0335 5' numeric
@attribute 'm33.0335 6' numeric
@attribute 'm34 5' numeric
@attribute 'm37.0227 4' numeric
@attribute 'm37.0227 9' numeric
@attribute 'm39 1' numeric
@attribute 'm39 8' numeric
@attribute 'm39 9' numeric
@attribute 'm44.0049 1' numeric
@attribute 'm44.9998 1' numeric
@attribute 'm44.9998 2' numeric
@attribute 'm45.0335 3' numeric
@attribute 'm45.9924 3' numeric
@attribute 'm45.9924 4' numeric
@attribute 'm45.9924 5' numeric
@attribute 'm47.0261 6' numeric
@attribute 'm47.0261 9' numeric
@attribute 'm51.0090 5' numeric
@attribute 'm51.0455 1' numeric
@attribute 'm57.0699 7' numeric
@attribute 'm58.0756 0' numeric
@attribute 'm59.9293 3' numeric
@attribute 'm61.0284 1' numeric
@attribute 'm62.9264 1' numeric
@attribute 'm62.9264 2' numeric
@attribute 'm62.9264 9' numeric
@attribute 'm62.9622 3' numeric
@attribute 'm63.0457 1' numeric
@attribute 'm63.0457 2' numeric
@attribute 'm64.9278 2' numeric
@attribute 'm64.9278 3' numeric
@attribute 'm65.0603 1' numeric
@attribute 'm65.0603 2' numeric
@attribute 'm68.9990 8' numeric
@attribute 'm68.9990 9' numeric
@attribute 'm73.0305 4' numeric
@attribute 'm75.0440 6' numeric
@attribute 'm75.0440 7' numeric
@attribute 'm77.0549 3' numeric
@attribute 'm80.9449 3' numeric
@attribute 'm80.9449 4' numeric
@attribute 'm80.9449 5' numeric
@attribute 'm80.9922 1' numeric
@attribute 'm85.1012 5' numeric
@attribute 'm87.0441 2' numeric
@attribute 'm87.0441 3' numeric
@attribute 'm87.0441 4' numeric
@attribute 'm87.0441 5' numeric
@attribute 'm89.0597 4' numeric
@attribute 'm89.0597 5' numeric
@attribute 'm93.0699 4' numeric
@attribute 'm93.0699 8' numeric
@attribute 'm96.9612 9' numeric
@attribute 'm97.0296 5' numeric
@attribute 'm97.1012 1' numeric
@attribute 'm120.9533 3' numeric
@attribute 'm121.0250 4' numeric
@attribute 'm122.1089 9' numeric
@attribute 'm125.1393 9' numeric
@attribute 'm129.1274 2' numeric
@attribute 'm148.9709 7' numeric
@attribute target {0,1}

@data
760.39,3.49998,21.7305,21.958,95.9901,93.9936,94.1724,95.225,111.95,7233.35,7172.26,1702.97,1701.47,1690.11,5.12893,37.3293,37.7652,63.46,9.70029,9.84807,10.0947,10.8802,10.7705,0.68971,0.921422,27.5739,1.26777,0.30205,53.5791,0.374907,0.219959,0.133781,0.025668,0.359398,0.334155,0.182532,0.065105,0.51536,0.364861,0.042484,-0.002539,2.08367,3.72985,3.70534,0.32094,0.066426,0.127143,0.00422,0.785066,1.20639,1.96665,2.15518,2.02781,2.33694,2.51978,2.49853,21.0073,21.4719,0.105363,1.99294,1.64375,0.210675,0.118558,0.989042,0.341711,0.220293,0.385143,0
759.941,3.22872,22.0603,21.527,93.9936,94.1724,95.225,94.6139,112.434,7224.3,7181.78,1705.78,1690.11,1719.57,5.20071,37.7652,36.5483,63.8704,9.84807,10.0947,9.9412,12.2401,12.1064,0.561699,0.841789,27.5673,1.3331,0.269861,53.6739,0.219959,0.070308,0.193597,0.096782,0.334155,0.306456,0.065105,0.073257,0.364861,0.440324,-0.002539,0.047546,1.86191,3.70534,3.77751,0.548573,0.127143,0.00422,0.09332,0.71422,1.03727,2.15518,2.02781,2.33694,1.93542,2.49853,2.59276,21.5602,20.5692,0.228076,1.89188,1.61408,0.303195,0.14112,0.865793,0.342674,0.324368,0.545269,0
759.211,3.05222,21.7156,21.8555,94.1724,95.225,94.6139,95.2912,109.823,7226.14,7191.88,1701.36,1719.57,1700.04,5.43431,36.5483,36.1944,65.1496,10.0947,9.9412,9.3817,12.3543,11.1275,0.561269,1.1977,25.2667,1.45798,0.179069,54.3189,0.070308,0.142402,0.232141,0.057065,0.306456,0.226153,0.073257,0.158287,0.440324,0.451724,0.047546,0.050324,1.90655,3.77751,3.70954,0.481441,0.00422,0.09332,0.011886,0.811627,1.02668,2.02781,2.33694,1.93542,2.12642,2.59276,2.59496,21.6137,22.0439,0.097857,1.91455,1.56327,0.223912,0.120004,1.13278,0.310335,0.257185,0.419352,0
759.197,3.28447,21.5066,21.4486,95.225,94.6139,95.2912,92.5307,111.521,7205.05,7177.49,1705.02,1700.04,1683.72,5.2859,36.1944,37.175,62.5603,9.9412,9.3817,10.3786,10.7705,12.4107,0.61316,0.824356,27.2468,1.63453,0.144171,53.6577,0.142402,0.154803,0.082693,0.144279,0.226153,0.344541,0.158287,0.12111,0.451724,0.390565,0.050324,0.023301,2.12943,3.70954,3.57486,0.453275,0.09332,0.011886,0.14839,0.599845,1.13657,2.33694,1.93542,2.12642,2.08428,2.59496,2.39006,21.1898,21.2653,0.124918,1.88493,1.54705,0.243722,0.070374,0.985046,0.280319,0.22122,0.451268,0
760.015,3.04576,21.6537,21.4597,94.6139,95.2912,92.5307,95.6086,109.539,7187.39,7190.02,1700.29,1683.72,1727.47,4.87323,37.175,36.641,64.0698,9.3817,10.3786,9.71668,12.1064,11.466,0.803444,0.963194,26.4717,1.36079,0.250242,53.3021,0.154803,0.22354,0.206405,0.181114,0.344541,0.431983,0.12111,0.090635,0.390565,0.425411,0.023301,0.065858,2.25088,3.57486,3.67832,0.409216,0.011886,0.14839,0.104261,0.743445,1.14279,1.93542,2.12642,2.08428,2.13296,2.39006,2.61965,21.4719,21.509,0.037572,1.88376,1.56556,0.24765,0.192646,0.883032,0.29798,0.219148,0.484052,0
759.996,3.45303,20.5032,21.2648,95.2912,92.5307,95.6086,94.4452,112.004,7172.26,7199.81,1716.72,1727.47,1701,4.72693,36.641,37.8099,62.5839,10.3786,9.71668,9.49056,11.1275,11.1967,0.552718,1.25218,26.0866,1.59126,0.236076,53.1438,0.22354,0.223249,0.402436,0.162248,0.431983,0.413363,0.090635,0.079185,0.425411,0.481418,0.065858,0.152228,2.0377,3.67832,3.94567,0.456242,0.14839,0.104261,0.087805,0.571178,1.10677,2.12642,2.08428,2.13296,1.99681,2.61965,2.57204,20.5692,21.6242,0.069022,2.00598,1.50905,0.206561,0.191756,0.9668,0.357489,0.328518,0.451411,0
759.835,3.48522,21.8555,21.8497,94.4452,93.0303,93.4725,95.4054,112.178,7177.49,7204.39,1690.11,1700.25,1725.94,5.46596,37.3367,36.6105,63.0072,9.88897,9.6483,10.1626,11.1967,12.0004,0.675152,0.913979,27.53,1.28559,0.035432,52.7749,0.133781,0.193597,0.104208,0.137529,0.338921,0.474834,0.08442,0.097013,0.544685,0.4638,0.003594,0.027158,1.96518,3.93006,4.06933,0.320445,0.126483,0.012263,0.011837,0.812706,0.993112,1.99681,2.06537,2.08348,2.21189,2.53334,2.65682,21.509,21.337,0.071238,1.98736,1.57684,0.200887,0.067709,0.935767,0.286001,0.294667,0.465331,0
759.633,3.57707,21.4486,22.0431,93.0303,93.4725,95.4054,94.9622,110.568,7190.02,7190.03,1719.57,1725.94,1706.96,4.89956,36.6105,36.7025,62.3242,9.6483,10.1626,9.44927,11.2198,11.8374,0.609323,1.14436,27.3343,1.36744,0.107704,52.0632,0.193597,0.232141,0.233679,0.096857,0.474834,0.544048,0.097013,0.056377,0.4638,0.346687,0.027158,-0.004939,2.03168,4.06933,4.20391,0.594542,0.012263,0.011837,0.077076,0.779385,1.16516,2.06537,2.08348,2.21189,2.37839,2.65682,2.49131,21.6242,21.7957,0.069365,1.99869,1.59438,0.217852,0.062635,0.873267,0.36796,0.214359,0.526243,0
760.204,3.47134,21.4597,20.7453,93.4725,95.4054,94.9622,94.6177,111.909,7199.81,7166.49,1700.04,1706.96,1709.83,5.3632,36.7025,36.9948,62.1332,10.1626,9.44927,9.51263,11.8384,11.3673,0.611727,1.19387,26.9174,1.32305,0.184297,52.5036,0.232141,0.082693,0.09076,0.136756,0.544048,0.390632,0.056377,0.183087,0.346687,0.428056,-0.004939,0.031237,1.65358,4.20391,4.11704,0.425516,0.011837,0.077076,0.150832,0.765451,1.09241,2.08348,2.21189,2.37839,2.15268,2.49131,2.37303,20.8934,20.8915,0.037418,1.89617,1.65405,0.178057,0.033491,0.765974,0.296289,0.332614,0.482766,0
760.675,3.54986,21.2648,21.3068,95.4054,94.9622,94.6177,93.2073,113.002,7188.55,7165.96,1683.72,1709.83,1696.85,5.59962,36.9948,36.1454,62.1614,9.44927,9.51263,10.1271,12.0004,11.106,0.681357,0.884481,27.1782,1.25326,0.298853,52.0089,0.082693,0.206405,0.139902,0.134212,0.390632,0.309444,0.183087,0.160877,0.428056,0.577031,0.031237,0.069564,1.89923,4.11704,4.09641,0.29765,0.077076,0.150832,-0.003117,0.726839,1.10878,2.21189,2.37839,2.15268,2.15826,2.37303,2.30916,21.8961,20.9909,0.026654,1.71231,1.57294,0.062594,0.213358,0.7959,0.30202,0.248078,0.452275,0
