@relation 'emotion-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'CO2 0' numeric
@attribute 'm33.0335 0' numeric
@attribute 'm33.0335 4' numeric
@attribute 'm33.0335 5' numeric
@attribute 'm34.0372 4' numeric
@attribute 'm35.0385 4' numeric
@attribute 'm43.0178 0' numeric
@attribute 'm45.0335 0' numeric
@attribute 'm45.0335 2' numeric
@attribute 'm47.0491 0' numeric
@attribute 'm47.0491 2' numeric
@attribute 'm47.0491 3' numeric
@attribute 'm48.0071 5' numeric
@attribute 'm59.9293 0' numeric
@attribute 'm63.0263 2' numeric
@attribute 'm63.0457 1' numeric
@attribute 'm64.9278 6' numeric
@attribute 'm65.0603 3' numeric
@attribute 'm71.0157 8' numeric
@attribute 'm71.0855 1' numeric
@attribute 'm72.9853 3' numeric
@attribute 'm84.0920 6' numeric
@attribute 'm84.0920 7' numeric
@attribute 'm89.0271 0' numeric
@attribute 'm89.0271 2' numeric
@attribute 'm89.0271 3' numeric
@attribute 'm89.0597 2' numeric
@attribute 'm89.0597 3' numeric
@attribute 'm95.0158 0' numeric
@attribute 'm97.0296 3' numeric
@attribute 'm97.1012 1' numeric
@attribute 'm99.0440 4' numeric
@attribute 'm100.9380 9' numeric
@attribute 'm105.0342 0' numeric
@attribute 'm111.0800 0' numeric
@attribute 'm111.0800 1' numeric
@attribute 'm113.1425 2' numeric
@attribute 'm120.9533 0' numeric
@attribute 'm120.9533 1' numeric
@attribute 'm120.9533 2' numeric
@attribute 'm120.9533 3' numeric
@attribute 'm120.9533 6' numeric
@attribute 'm136.1310 1' numeric
@attribute 'm148.9709 6' numeric
@attribute 'm148.9709 7' numeric
@attribute 'm149.1000 8' numeric
@attribute 'm149.1000 9' numeric
@attribute 'm153.1274 0' numeric
@attribute target {0,1}

@data
749.638,95.1068,96.1709,94.6378,0.8568,0.678874,30.5325,63.1467,63.9049,53.7026,54.7624,54.1591,0.463491,0.150077,1.25083,0.295361,0.083535,0.427773,0.188693,2.98017,0.216359,0.349022,0.388861,0.263868,0.17119,0.298476,2.6241,2.4229,1.18414,1.89144,1.46416,0.355319,0.364017,0.30355,0.298292,0.395815,0.146258,0.164951,0.212723,0.257053,0.273056,0.171092,0.301372,0.477051,0.403102,0.149918,0.210467,0.224417,1
750.009,95.8042,94.6378,96.4932,1.26218,0.665673,30.7841,63.3423,63.8787,53.7381,54.1591,54.7953,0.498117,0.196814,0.941263,0.398833,0.12364,0.451481,0.260544,3.19653,0.14191,0.388861,0.327337,0.284582,0.298476,0.222122,2.4229,2.43832,1.48079,1.99072,1.51544,0.390504,0.325345,0.19855,0.395815,0.336519,0.095223,0.212723,0.257053,0.273056,0.158256,0.277987,0.310349,0.403102,0.386021,0.210467,0.239743,0.25194,1
752.381,96.2351,96.4932,93.6967,1.20468,0.418932,29.8577,63.9049,64.6235,54.7624,54.7953,54.4984,0.385784,0.090429,0.921756,0.283922,0.072201,0.490285,0.167143,3.29114,0.147922,0.327337,0.478538,0.17119,0.222122,0.29738,2.43832,2.44142,1.18689,1.95763,1.61617,0.375573,0.360589,0.411495,0.336519,0.242466,0.156985,0.257053,0.273056,0.158256,0.180981,0.184689,0.282701,0.386021,0.445177,0.239743,0.159784,0.258381,1
754.066,96.2987,93.6967,93.9995,1.15459,0.690626,30.5784,63.8787,64.8715,54.1591,54.4984,55.5893,0.372163,0.201684,0.973081,0.235364,0.091604,0.515515,0.190802,3.16335,0.179202,0.478538,0.346933,0.298476,0.29738,0.226916,2.44142,2.51574,1.12091,1.91502,1.70543,0.310825,0.436401,0.308652,0.242466,0.225439,0.235595,0.273056,0.158256,0.180981,0.171092,0.20879,0.305533,0.445177,0.521138,0.159784,0.202524,0.146838,1
756.478,96.1709,93.9995,95.3822,0.785789,0.516079,30.3504,64.6235,64.0127,54.7953,55.5893,54.0305,0.459957,0.259595,1.0601,0.362141,0.046958,0.493277,0.06171,3.44414,0.162716,0.346933,0.327923,0.222122,0.226916,0.276884,2.51574,2.27181,1.03104,1.90838,1.5976,0.325048,0.380123,0.257762,0.225439,0.256283,0.117604,0.158256,0.180981,0.171092,0.277987,0.248601,0.325026,0.521138,0.491584,0.202524,0.267477,0.261611,1
757.895,94.6378,95.3822,95.7974,0.837798,0.438197,30.6576,64.8715,63.5214,54.4984,54.0305,54.7609,0.504271,0.207493,1.05056,0.339784,0.12718,0.525674,0.174508,3.5125,0.201656,0.327923,0.402054,0.29738,0.276884,0.264689,2.27181,2.55169,1.19783,2.09259,1.51337,0.43531,0.332048,0.198923,0.256283,0.438185,0.133143,0.180981,0.171092,0.277987,0.184689,0.259446,0.390359,0.491584,0.53333,0.267477,0.173694,0.286522,1
757.557,96.4932,95.7974,95.7535,1.00991,0.577719,30.4869,64.0127,63.6924,55.5893,54.7609,54.3896,0.34239,0.150271,1.07415,0.434959,0.162806,0.320883,0.250934,3.34473,0.127973,0.402054,0.443217,0.226916,0.264689,0.184422,2.55169,2.45847,0.996109,1.88846,1.35535,0.386526,0.393019,0.24132,0.438185,0.22994,0.178212,0.171092,0.277987,0.184689,0.20879,0.357921,0.395763,0.53333,0.434881,0.173694,0.154782,0.230464,1
757.911,93.6967,95.7535,95.3388,0.773222,0.716415,30.7573,63.5214,62.7826,54.0305,54.3896,55.9787,0.524066,0.171253,1.26183,0.33996,0.182934,0.425108,0.152721,3.85046,0.021114,0.443217,0.430354,0.276884,0.184422,0.312413,2.45847,2.38921,1.42496,1.81049,1.42754,0.270048,0.400829,0.152895,0.22994,0.302631,0.150168,0.277987,0.184689,0.20879,0.248601,0.233583,0.414452,0.434881,0.50477,0.154782,0.214692,0.226656,1
758.856,93.9995,95.3388,95.1184,1.16275,0.799533,30.6209,63.6924,65.5807,54.7609,55.9787,53.7882,0.414086,0.129166,1.10239,0.187232,0.107214,0.524443,0.147017,3.25986,0.16008,0.430354,0.471764,0.264689,0.312413,0.24549,2.38921,2.34,1.08902,1.9426,1.56408,0.394466,0.302315,0.371973,0.302631,0.234982,0.06031,0.184689,0.20879,0.248601,0.259446,0.110616,0.282968,0.50477,0.438526,0.214692,0.195702,0.201562,0
759.577,95.3822,95.1184,95.4984,1.26802,0.493887,30.5508,62.7826,64.2204,54.3896,53.7882,52.3215,0.326068,0.094822,1.03279,0.31172,0.192554,0.391864,0.224843,3.36774,0.219754,0.471764,0.412442,0.184422,0.24549,0.302391,2.34,2.47416,1.40741,1.90436,1.63036,0.307684,0.355685,0.341906,0.234982,0.33356,0.130941,0.20879,0.248601,0.259446,0.357921,0.194079,0.283278,0.438526,0.466597,0.195702,0.161645,0.292914,0
