@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

emotion,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,213,113,0,65.337423,34.662577,0,0.275385,0.346626,0.588749,76.51099,123.714017,303.512091,84496.917376,-84193.405284,0.931019,259.192998,-258.261979,61.465065,0.188543,6600.063566,0.671362,143,0.380531,43,0.619469,70,0.328638,70,0.768817,0.671362,0.716792,0.279607,0.625701,0.737884,0.653374,0.362544,0.637456,0.346626,0.675638,0.653374,0.660142,0.279607,0.652963,0.650709,0.635076,0.653374,0.312,0.392,0.3125,0.390625,312.5,390.625,602098,19137199,8313498,65.337423,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,214,112,0,65.644172,34.355828,0,0.288792,0.343653,0.586063,75.854787,123.149624,303.512091,76583.8531,-76280.341009,0.931019,234.919795,-233.988776,63.561957,0.194975,6825.225952,0.661972,141,0.353982,40,0.646018,73,0.338028,72,0.779006,0.661972,0.715736,0.294945,0.668453,0.762393,0.656442,0.348452,0.651548,0.343558,0.68349,0.656442,0.663796,0.294945,0.685432,0.668384,0.640814,0.656442,0.341,0.441,0.34375,0.421875,343.75,421.875,602155,19137256,8313555,65.644172,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,237,89,0,72.699387,27.300613,0,0.442446,0.273005,0.522493,60.260567,109.791627,303.512091,41117.422747,-40813.910655,0.931019,126.127064,-125.196045,112.873926,0.346239,12120.300983,0.699531,149,0.221239,25,0.778761,88,0.300469,64,0.856322,0.699531,0.770026,0.456274,0.776704,0.846654,0.726994,0.248702,0.751298,0.273006,0.760177,0.726994,0.733327,0.456274,0.778058,0.750043,0.717088,0.726994,0.347,0.425,0.34375,0.421875,343.75,421.875,602155,19137256,8313555,72.699387,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,215,111,0,65.95092,34.04908,0,0.290999,0.340451,0.583449,75.148105,122.600196,303.512091,81094.907953,-80791.395862,0.931019,248.757386,-247.826368,65.76776,0.201742,7062.083133,0.671362,143,0.362832,41,0.637168,72,0.328638,70,0.777174,0.671362,0.720403,0.296123,0.627695,0.74711,0.659509,0.35098,0.64902,0.340491,0.683539,0.659509,0.666434,0.296123,0.655728,0.656119,0.642554,0.659509,0.303,0.386,0.296875,0.390625,296.875,390.625,602155,19137256,8313555,65.95092,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,760,325,215,110,0,66.153846,33.846154,0,0.30282,0.338086,0.581007,74.595147,121.999004,302.898391,78981.407955,-78678.509564,0.931995,243.019717,-242.087722,67.367743,0.207285,7237.122099,0.660377,140,0.336283,38,0.663717,75,0.339623,72,0.786517,0.660377,0.717949,0.310106,0.653031,0.757996,0.661538,0.337444,0.662556,0.338462,0.690445,0.661538,0.668915,0.310106,0.679141,0.66924,0.647436,0.661538,0.306,0.395,0.3125,0.390625,312.5,390.625,602155,19162253,8288558,66.461538,50.153846,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,760,325,210,115,0,64.615385,35.384615,0,0.272534,0.353846,0.59485,78.072399,124.905622,302.898391,84593.679219,-84290.780828,0.931995,260.288244,-259.356249,56.465041,0.173739,6065.876291,0.646226,137,0.353982,40,0.646018,73,0.353774,75,0.774011,0.646226,0.70437,0.27947,0.624374,0.740213,0.646154,0.35391,0.64609,0.353846,0.67639,0.646154,0.653961,0.27947,0.652509,0.64991,0.631879,0.646154,0.321,0.457,0.3125,0.453125,312.5,453.125,602155,19162253,8288558,64.615385,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,761,324,213,111,0,65.740741,34.259259,0,0.286259,0.341447,0.583705,75.395569,122.732269,301.371269,81108.275087,-80806.903818,0.930158,250.334182,-249.404024,64.358206,0.198636,6908.013465,0.669811,142,0.366071,41,0.633929,71,0.330189,70,0.775956,0.669811,0.718987,0.291369,0.630601,0.743861,0.657407,0.353668,0.646332,0.342593,0.68179,0.657407,0.664466,0.291369,0.660374,0.656756,0.640126,0.657407,0.376,0.511,0.359375,0.484375,359.375,484.375,602155,19187250,8263561,66.049383,50.154321,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,761,324,214,110,0,66.049383,33.950617,0,0.273957,0.339525,0.582669,74.971076,122.514425,301.371269,76539.589475,-76238.218206,0.930158,236.233301,-235.303143,65.827425,0.203171,7065.714943,0.70283,149,0.419643,47,0.580357,65,0.29717,63,0.760204,0.70283,0.730392,0.275498,0.640035,0.749229,0.660494,0.377306,0.622694,0.339506,0.672958,0.660494,0.665154,0.275498,0.664108,0.658153,0.636029,0.660494,0.345,0.45,0.34375,0.421875,343.75,421.875,602155,19187250,8263561,66.049383,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,205,121,0,62.883436,37.116564,0,0.22102,0.371161,0.609226,81.926678,128.016801,303.512091,96698.632033,-96395.119942,0.931019,296.621571,-295.690552,44.331165,0.135985,4760.240766,0.657277,140,0.424779,48,0.575221,65,0.342723,73,0.744681,0.657277,0.698254,0.223939,0.618056,0.72877,0.628834,0.396336,0.603664,0.371166,0.649821,0.628834,0.635749,0.223939,0.637786,0.633596,0.608091,0.628834,0.302,0.43,0.296875,0.4375,296.875,437.5,602155,19137256,8313555,62.883436,50,?
emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,216,110,0,66.257669,33.742331,0,0.293232,0.337332,0.580727,74.459648,122.028195,303.512091,74912.966708,-74609.454617,0.931019,229.794376,-228.863358,67.934355,0.208388,7294.730152,0.680751,145,0.371681,42,0.628319,71,0.319249,68,0.775401,0.680751,0.725,0.297411,0.673937,0.770782,0.662577,0.353507,0.646493,0.337423,0.683681,0.662577,0.669017,0.297411,0.689901,0.674578,0.644246,0.662577,0.348,0.469,0.359375,0.46875,359.375,468.75,602155,19137256,8313555,66.257669,50,?
